Project_id,source_id,Address,Town,Province,Source_type,results,Improvement,Source_status,Date_of_completion,Comments
2001,SoRu38651224,"27 Mto Wa Ukarimu Street",Rural,Sokoto,river,NULL,NULL,Backlog,NULL,NULL
2002,AmRu13336224,"61 Lusaka Avenue",Rural,Amanzi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2003,KiMr24490224,"153 Okocha Street",Mrembo,Kilimani,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2004,AkRu06005224,"74 Simba Road",Rural,Akatsi,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2005,KiRu27387224,"40 Kaduna Road",Rural,Kilimani,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2006,SoRu38531224,"39 Pwani Ya Joto Road",Rural,Sokoto,shared_tap,NULL,NULL,Backlog,NULL,NULL
2007,SoRu37921224,"155 Paka Dangote Street",Rural,Sokoto,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2008,AkLu01855224,"43 Lilongwe Street",Lusaka,Akatsi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2009,HaRu20265224,"42 Malaika Drive",Rural,Hawassa,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2010,AmRu14051224,"21 Senghor Way",Rural,Amanzi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2011,KiRu27965224,"30 Duma Leakey Road",Rural,Kilimani,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2012,AkRu05087224,"83 Bissau Street",Rural,Akatsi,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2013,SoIl32542224,"83 Sfax Street",Ilanga,Sokoto,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2014,SoIl32649224,"64 Pwani Mchangani Road",Ilanga,Sokoto,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2015,KiRu27730224,"36 Desmond Tutu Street",Rural,Kilimani,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2016,SoRu36983224,"37 Ellen Johnson Sirleaf Street",Rural,Sokoto,river,NULL,NULL,Backlog,NULL,NULL
2017,SoRu38944224,"21 Asimbonanga Road",Rural,Sokoto,river,NULL,NULL,Backlog,NULL,NULL
2018,AkRu07917224,"34 Maji Mema Street",Rural,Akatsi,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2019,HaRu18608224,"61 Kano Street",Rural,Hawassa,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2020,SoIl32322224,"36 Rift Valley Rise",Ilanga,Sokoto,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2021,SoIl32324224,"21 Rift Valley Rise",Ilanga,Sokoto,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2022,KiRu25960224,"67 Kalahari Avenue",Rural,Kilimani,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
